,city,comments_ta,name,prices_ta,quality_price_ta,rating_ta,stars_ta,rank_ta,heredados_ta,total_heredados_ta,acceso/comunicacion_ta,total_acceso/comunicacion_ta,entretenimiento/deporte_ta,total_entretenimiento/deporte_ta,ninios_ta,total_ninios_ta,comida/bebida_ta,total_comida/bebida_ta,comments_bk,prices_bk,quality_price_bk,rating_bk,stars_bk,rank_bk,heredados_bk,total_heredados_bk,acceso/comunicacion_bk,total_acceso/comunicacion_bk,entretenimiento/deporte_bk,total_entretenimiento/deporte_bk,inclusion,total_inclusion,ninios_bk,total_ninios_bk,comida/bebida_bk,total_comida/bebida_bk
34,Bacalar,11,Casa Bizu,1080,0.0,3.5,0.0,235,0,0,1,1,0,0,0,0,0,0,213.0,1080,8.2,8.7,3,94,0,0,1,1,1,6,0,0,1,2,1,5
35,Bacalar,6,XO Hotel Bacalar Lakefront - All Inclusive,1358,0.0,3.0,0.0,261,0,0,0,0,0,0,0,0,0,0,10.0,2745,7.2,7.1,3,2,1,2,1,6,1,7,0,0,1,3,1,7
37,Bacalar,2,Papitos Bacalar Hotel and Marina,960,0.0,4.0,0.0,262,0,0,0,0,0,0,0,0,0,0,7.0,960,2.9,2.1,0,100,0,0,1,4,1,7,0,0,1,1,1,2
38,Bacalar,13,Hotel Pancho Villas Bacalar,1850,0.0,3.5,0.0,263,1,1,1,2,0,0,1,1,1,2,193.0,1862,7.9,8.0,4,9,0,0,1,4,1,3,0,0,1,1,1,3
39,Isla Mujeres,23,Posada Paso Del Sol,644,4.0,4.0,0.0,112,0,0,1,1,0,0,1,1,1,2,325.0,714,8.8,8.7,0,49,0,0,0,0,1,4,0,0,0,0,1,1
40,Isla Mujeres,131,Hotel Isleño,1546,4.5,4.0,3.0,119,0,0,1,2,1,1,1,1,1,1,97.0,1683,7.8,8.0,3,11,0,0,1,3,1,6,0,0,1,2,1,1
41,Isla Mujeres,286,Xbulu-Ha,1269,4.5,4.0,2.0,122,0,0,1,2,1,1,0,0,1,3,54.0,1148,8.0,8.2,2,50,0,0,1,1,1,5,0,0,1,1,1,1
42,Isla Mujeres,1019,Na Balam Hotel,3048,3.5,3.5,3.5,125,1,2,1,1,1,1,0,0,1,1,362.0,3451,7.6,8.2,4,58,0,0,1,5,1,7,1,1,1,2,1,2
43,Loreto,181,Posada de las Flores Loreto,2480,3.5,4.0,4.0,15,1,1,1,1,1,1,0,0,1,2,103.0,2492,8.1,8.2,4,12,1,1,1,8,1,10,0,0,0,0,1,2
44,Loreto,97,Hacienda Suites Loreto,1720,4.0,3.5,3.0,20,0,0,1,2,1,1,1,1,1,1,133.0,1835,8.0,8.3,3,6,0,0,1,3,1,2,0,0,1,1,1,1
45,Loreto,77,Hotel 1697 Loreto,2319,4.5,4.5,3.0,26,0,0,1,2,1,1,0,0,1,2,254.0,2330,8.8,8.9,0,14,0,0,1,1,1,8,0,0,0,0,1,3
46,Loreto,60,Hotel Angra,1016,4.5,4.5,2.5,27,0,0,1,2,0,0,0,0,1,1,232.0,1233,8.8,8.9,3,7,1,1,1,1,1,3,0,0,0,0,0,0
47,Loreto,142,Posada del Cortes,2389,4.5,4.5,2.0,28,0,0,1,3,1,1,1,1,1,1,157.0,1719,9.0,9.1,3,20,0,0,1,6,1,18,0,0,1,2,1,5
48,Loreto,1002,La Mision Loreto,3212,4.5,4.5,3.5,34,1,2,1,1,1,3,1,2,1,2,219.0,3587,8.7,9.3,5,22,1,1,1,8,1,13,1,4,1,1,1,5
49,Loreto,814,Loreto Bay Golf Resort & Spa at Baja,1940,4.0,3.5,4.5,35,1,3,1,2,1,4,1,2,1,1,670.0,1940,7.5,7.8,5,23,1,3,1,6,1,12,1,6,1,1,1,2
50,Loreto,219,Hotel Oasis,2521,3.5,3.5,3.0,36,1,2,1,2,1,3,1,2,1,2,384.0,2534,8.0,8.4,4,10,1,3,1,7,1,13,1,5,1,3,1,8
51,Loreto,587,Hotel Santa Fe Loreto by Villa Group,1679,4.5,4.5,3.0,37,0,0,1,1,1,2,1,3,1,4,279.0,1837,8.1,8.4,4,24,1,1,1,5,1,10,1,2,1,3,1,2
52,Mazunte,24,Casa Mazunte Tierra Viva,785,5.0,4.5,2.0,26,1,1,1,1,0,0,1,2,1,4,502.0,1160,8.9,9.1,0,3,1,1,1,1,1,7,1,3,1,1,1,5
53,Mazunte,25,Cabañas Telayú,840,4.0,3.5,0.0,30,0,0,0,0,1,2,1,1,0,0,320.0,1000,8.4,8.4,0,14,0,0,0,0,0,0,0,0,1,1,1,1
54,Todos Santos,103,Hacienda Todos Los Santos,4085,4.5,5.0,5.0,23,0,0,1,2,1,3,0,0,1,2,148.0,4106,8.9,9.2,5,13,0,0,1,1,1,3,0,0,1,1,1,1
55,Todos Santos,69,Perro Surfero-Outsite Todos Santos,2199,5.0,4.5,0.0,24,0,0,1,2,1,3,1,1,0,0,148.0,2826,8.9,9.1,0,6,0,0,1,2,1,11,0,0,1,3,1,4
56,Todos Santos,123,Serendipity,3387,5.0,5.0,5.0,29,1,2,1,1,1,1,1,2,1,3,115.0,3387,8.5,9.1,5,1,1,1,1,1,1,1,1,1,1,3,1,2
