city,comments,name,prices,quality_price,rating,stars,heredados,acceso/comunicacion,entretenimiento/deporte,ninios,comida/bebida
Ciudad del Carmen,17,Azul Hotel & Restaurante,610,3.5,4.0,3.0,1,1,0,1,1
Ciudad del Carmen,360,Hyatt Place Ciudad del Carmen Hotel,1199,4.5,4.5,3.0,0,1,1,1,1
Hoteles en Puerto Vallarta,4583,Velas Vallarta Resort (todo incluido),6970,4.5,4.5,4.0,1,1,1,1,1
Hoteles en Puerto Vallarta,2060,Casa Velas Resort (todo incluido),12377,4.5,5.0,4.0,0,1,1,0,1
Isla Mujeres,23,Posada Paso Del Sol Hostal especializado,644,4.0,4.0,0,0,1,0,1,1
Isla Mujeres,94,Hotel Kinich,1890,4.5,4.5,3.0,0,1,0,0,1
Isla Mujeres,131,Hotel Isleño,1546,4.5,4.0,3.0,0,1,1,1,1
Isla Mujeres,286,Hotel Xbulu-Ha,1269,4.5,4.0,2.0,0,1,1,0,1
Isla Mujeres,1019,Na Balam Beach Hotel,3048,3.5,3.5,3.5,1,1,1,0,1
Isla Mujeres,17,casa azul maya Apartamento,1501,5.0,4.5,0,0,1,1,1,1
Isla Mujeres,175,Francis Arlene Hotel,1575,4.0,3.5,2.0,0,1,1,0,1
Loreto,34,Bugambilias Suites Hotel,1507,5.0,5.0,2.5,0,1,0,1,1
Loreto,587,Hotel Santa Fe Loreto By Villa Group,1679,4.5,4.5,3.0,0,1,1,1,1
Loreto,172,Hotel Tripui Resort,1592,4.5,4.5,3.0,0,1,1,1,1
Loreto,1002,Hotel La Misión Loreto,3212,4.5,4.5,3.5,1,1,1,1,1
Loreto,814,Loreto Bay Golf Resort & Spa at Baja Hotel,1940,4.0,3.5,4.5,1,1,1,1,1
Loreto,219,Hotel Oasis,2521,3.5,3.5,3.0,1,1,1,1,1
Loreto,142,Posada del Cortes Hotel,2389,4.5,4.5,2.0,0,1,1,1,1
Loreto,60,Hotel Angra,1016,4.5,4.5,2.5,0,1,0,0,1
Loreto,77,Hotel 1697 Loreto,2319,4.5,4.5,3.0,0,1,1,0,1
Loreto,97,Hacienda Suites Hotel,1720,4.0,3.5,3.0,0,1,1,1,1
Loreto,181,Posada de las Flores Loreto Hotel,2480,3.5,4.0,4.0,1,1,1,0,1
Los Cabos,1185,Grand Velas Los Cabos Resort (todo incluido),24529,4.5,5.0,5.0,1,1,1,1,1
Mazunte,25,Cabañas Telayú,840,4.0,3.5,0,0,0,1,1,0
Mazunte,24,Casa Mazunte Tierra Viva Casa de campo,785,5.0,4.5,2.0,1,1,0,1,1
Mazunte,164,ZOA Hotel,6773,4.5,4.5,4.5,1,1,1,0,1
Mazunte,107,Casa Mermejita Villa vacacional,2250,4.5,4.5,3.0,1,1,1,1,1
Mérida,311,Casa Italia Luxury Guest House Hotel boutique,1062,4.5,4.5,4.0,0,1,1,0,1
Mérida,662,Hampton Inn by Hilton Merida Hotel,1328,4.5,4.5,3.0,0,1,1,1,1
Poza Rica,71,Rio Vista Inn Hotel,1155,5.0,4.5,4.0,0,1,1,1,1
Poza Rica,181,La Quinta by Wyndham Poza Rica Hotel,995,4.5,4.0,3.5,0,1,1,1,1
