city,comments,name,prices,quality_price,rating,stars,heredados,acceso/comunicacion,entretenimiento/deporte,inclusion,ninios,comida/bebida
Bacalar,166,Habitas Bacalar,5977,8.8,9.5,5,1,1,1,0,0,1
Bacalar,1.339,The Yak Lake House - Hostal,2167,7.8,8.6,0,1,1,1,0,0,1
Bacalar,47,Navieros Rooms Bacalar,714,7.9,7.8,0,0,1,1,0,1,0
Bacalar,423,Villa Marilu B&B,2660,8.9,9.5,4,1,1,1,0,0,1
Bacalar,390,Hotel Rancho Encantado,5344,8.5,9.1,0,1,1,1,0,1,1
Bacalar,171,Hotel Henry Bacalar,799,9.3,9.1,0,0,1,1,0,1,1
Bacalar,389,Amigos Hotelito,1800,8.7,9.0,3,1,1,1,0,1,1
Bacalar,75,Mayanah Bacalar,1518,8.4,8.4,4,0,1,1,0,1,1
Bacalar,166,Habitas Bacalar,5977,8.8,9.5,5,1,1,1,0,0,1
Bacalar,475,Hotel Vista Laguna Bacalar,1100,7.4,7.6,0,1,1,1,0,1,0
Bacalar,4,Departamento Sueñitos en Bacalar Lock Off,807,10,10.0,0,0,1,1,0,1,1
Bacalar,116,Pucté 13,2475,8.8,9.2,0,1,1,1,0,1,1
Bacalar,193,Hostal y Camping Las G,212,7.9,7.0,0,0,0,0,0,1,1
Bacalar,144,Hotel Seyba Bakalar,960,7.3,7.4,5,0,1,1,0,1,0
Bacalar,130,Casa & Beach Club Yunuem,900,7.2,7.4,0,1,1,1,0,1,1
Bacalar,4,D´LUXURY BAKALAR,810,8.1,8.2,0,0,1,1,0,1,1
Bacalar,108,Estancia Lapislázuli,700,9.4,9.0,0,0,1,1,1,0,0
Bacalar,245,Hotel Casa Corazón,977,6.6,6.9,0,0,1,1,0,1,0
Bacalar,9,"Casa Venado, By Jungla Bacalar",1260,9.4,8.8,3,0,1,1,1,1,1
Bacalar,200,Poza Clara Sanctuary,1402,8.5,8.7,0,0,1,1,1,1,1
Bacalar,9,Villas Chital Bacalar,972,6.9,6.9,3,0,0,1,0,0,0
Bacalar,108,Posada El Refugio,558,5.2,4.8,0,0,1,0,0,1,1
Bacalar,208,Posada Antonia Bacalar,629,8.7,8.4,3,0,0,1,0,1,0
Bacalar,114,Hotel Pejelagarto,1378,8.7,8.5,3,0,1,1,0,1,1
Bacalar,636,MBH Maya Bacalar Hotel Boutique,4817,7.8,8.4,4,0,1,1,1,1,1
Bacalar,369,BOA BOA Bacalar,2458,8.3,8.7,3,1,1,1,0,0,1
Bacalar,212,Khaban Bacalar Hotel Boutique,5179,8.4,8.9,4,1,1,1,0,1,1
Bacalar,152,Mia Bacalar Luxury Resort & Spa,5761,7.3,8.4,5,1,1,1,0,1,1
Bacalar,5,CASA MR CENTRO,1250,8.5,8.6,0,0,0,1,0,1,1
Bacalar,7,Papitos Bacalar Hotel and Marina,960,2.9,2.1,0,0,1,1,0,1,1
Bacalar,4,"Departamento amueblado céntrico, muy confortable, accesible y con AA",578,8.1,8.5,3,0,1,1,0,1,1
Bacalar,213,Casa Bizu,1080,8.2,8.7,3,0,1,1,0,1,1
Bacalar,367,Blue Bird,2964,7.9,8.7,0,1,1,1,0,1,1
Bacalar,14,HOTEL CANTO,750,7.9,7.7,3,0,1,1,0,1,0
Bacalar,21,Cabañas Colibrí,1138,7.3,7.0,3,0,1,1,0,1,0
Bacalar,15,Casa baklahar frente a Laguna,916,6.8,6.5,0,1,1,1,0,1,0
Bacalar,11,Hotel Casa las Bugambilias,1047,7.5,6.7,0,0,1,0,0,1,1
Bacalar,147,Mecate Bacalar Hotel Boutique,686,7.3,7.3,0,0,1,1,1,1,1
Bacalar,367,Blue Bird,2964,7.9,8.7,0,1,1,1,0,1,1
Bacalar,337,Hotelito Kuyche,811,9.5,9.1,0,0,0,1,1,1,1
Bacalar,281,El Roble Nature Hotel & Lagoon,1125,8.2,8.5,0,1,1,1,0,1,1
Bacalar,4,Casa Caracol Lagoon,2000,8.1,8.3,0,1,1,1,0,1,1
Bacalar,392,Hostal & Suites Pata de Perro,614,8.0,8.1,0,0,1,1,0,1,1
Bacalar,127,AMACA Bacalar,2500,8.8,8.8,0,1,1,1,0,0,1
Bacalar,163,Blue Hotel,600,8.7,8.6,0,1,1,1,1,1,1
Bacalar,390,Hotel Rancho Encantado,5344,8.5,9.1,0,1,1,1,0,1,1
Bacalar,41,LAGOON SPECIAL Suite: Bikes & Kayaks!,2650,9.6,9.8,3,1,1,0,0,0,0
Bacalar,69,Mayanah Condohotel Bacalar By Rotamundos,1489,7.8,7.7,4,0,1,1,0,1,1
Bacalar,57,Casa Bonzay Bacalar,606,9.7,9.6,0,0,0,1,1,1,1
Bacalar,115,Aldea Che-eek,1600,8.3,7.9,0,1,1,1,1,1,1
Bacalar,4,Xoot Ka’Ana Villa las Estrellas,3745,10,9.5,0,1,1,0,0,0,1
Bacalar,10,XO Hotel Bacalar Lakefront - All Inclusive,2745,7.2,7.1,3,1,1,1,0,1,1
Bacalar,132,Asilé Hotel Boutique,1200,8.1,8.1,0,0,1,1,1,1,1
Bacalar,152,Mia Bacalar Luxury Resort & Spa,5761,7.3,8.4,5,1,1,1,0,1,1
Bacalar,4,Nao Suite,2421,8.1,9.2,0,1,1,0,0,0,0
Bacalar,43,Hotel Margarita Bacalar,844,8.3,7.6,0,1,1,1,0,1,1
