,city,comments,name,prices,quality_price,rating,services,stars,id,rank
1145,Bacalar,15,Casa Delia Hotel,1050 # 1050 # 945,4.5,4.5,Actividades infantiles (Ideal para niños / familias),0,43,38
1170,Bacalar,12,Hotel El Manglar,,2.0,4.0,Actividades infantiles (Ideal para niños / familias),0,44,39
1171,Bacalar,92,Hotel Pier Bacalar- All Inclusive,,3.0,3.0,Estacionamiento gratis # Internet gratuito # Desayuno gratis # Playa # Actividades infantiles (Ideal para niños / familias) # Se admiten mascotas ( Se aceptan perros / mascotas ) # Transporte al aeropuerto # Conserje # Aire acondicionado # Playa privada # Escritorio # Servicio de limpieza # Máquina de café/té # Kitchenette # TV por cable/satélite # Sofá cama # Vista al mar # Suite nupcial # Habitaciones para no fumadores # Habitaciones para familias # Habitaciones para fumadores disponibles,3.0,45,40
1172,Bacalar,1,Casa Delia Hotel,,0.0,5.0,,0,46,41
1173,Bacalar,2,Hotel Buenavista Bacalar By Nah Hotels,,0.0,2.5,,0,47,42
1174,Bacalar,444,Hotel Aires Bacalar,,5.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Bañera de hidromasaje # Desayuno gratis # Navegación # Sillitas altas disponibles # Transporte al aeropuerto # Masaje en pareja # Purificador de aire # Aire acondicionado # Escritorio # Servicio de limpieza # Balcón privado # Máquina de café/té # Sofá cama # Bañera/Ducha # Vista al mar # Vista a la piscina # Habitaciones para no fumadores # Habitaciones para familias,0,48,43
1149,Bacalar,1,Posada Mykonos Villa vacacional,,0.0,1.0,Actividades infantiles (Ideal para niños / familias),0,54,49
1182,Bacalar,1,Boaboa Bacalar Hotel,,0.0,5.0,,0,56,51
1183,Bacalar,3,Casa Bambu Bacalar Hotel,,0.0,4.5,Actividades infantiles (Ideal para niños / familias),0,57,52
1184,Bacalar,2,Hotel Diosa Del Agua,,0.0,5.0,,0,58,53
1186,Bacalar,7,Marina IzaVela Hostal,,0.0,4.5,,0,60,55
1187,Bacalar,18,Laguna Azul Bacalar,,4.0,4.5,,0,61,56
1188,Bacalar,16,Tierra Maya Hotel Spa & Sanctuary,,0.0,3.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Piscina # Desayuno gratis # Restaurante # Actividades infantiles (Ideal para niños / familias) # Spa # Bañera/Ducha,2.0,62,57
1191,Bacalar,52,Casa Caracol B & B especializado,,3.5,3.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Canotaje # Tenis de mesa # Masaje # Conserje # Red para mosquitos # Servicio de lavandería # Servicio a la habitación # Bañera/Ducha # Productos de tocador de cortesía,3.0,65,60
