city,comments,name,prices,quality_price,rating,stars,id,rank,heredados,total_heredados,acceso/comunicacion,total_acceso/comunicacion,entretenimiento/deporte,total_entretenimiento/deporte,ninios,total_ninios,comida/bebida,total_comida/bebida
Bacalar,546,Mia Bacalar Luxury Resort & Spa,,4.0,4.5,4.0,112,107,1,1,1,1,1,3,1,2,1,2
Bacalar,15,La Albarina,,0.0,4.0,0,113,108,0,0,0,0,0,0,0,0,0,0
Bacalar,25,Urban Bacalar Hotel by MIJ,,4.0,3.5,2.0,114,109,0,0,1,2,1,2,1,2,1,1
Bacalar,286,The Yak Lake House Hostal,,4.0,4.5,0,115,110,1,2,1,3,1,1,0,0,1,2
Bacalar,103,Hotel Maria Maria,,4.5,5.0,0,116,111,0,0,1,2,0,0,0,0,0,0
Bacalar,45,Hotel America,,3.0,3.0,2.0,117,112,0,0,1,3,1,1,1,2,0,0
Bacalar,24,Hotel Szapot,,5.0,4.0,0,118,113,0,0,1,3,0,0,1,2,0,0
Bacalar,64,Ecocamping Yaxche,,4.0,3.5,2.0,119,114,0,0,1,1,1,2,0,0,1,1
Bacalar,3,Hotel Sur Bacalar,,0.0,4.5,0,121,116,0,0,1,2,1,1,1,2,1,1
Bacalar,1429,Rancho Encantado Resort,,4.5,4.5,3.0,122,117,1,1,1,2,1,2,1,1,1,3
Bacalar,441,Casa Chukum - Hotel Boutique,2300.0,5.0,5.0,0,123,118,0,0,1,1,1,3,1,1,1,1
Bacalar,363,Hotel & Suites Oasis Bacalar,1691.0,5.0,5.0,0,124,119,0,0,1,2,1,2,1,3,1,4
Bacalar,11,Casa Bizu B & B,1080.0,0.0,3.5,0,127,122,0,0,1,1,0,0,0,0,0,0
Bacalar,2,Hotel Diosa del Agua Bacalar,,0.0,4.0,0,131,126,0,0,0,0,0,0,0,0,0,0
Bacalar,15,La Galuna Bacalar Hotel,,0.0,4.5,0,132,127,0,0,1,2,1,1,0,0,1,2
Bacalar,94,Posada LULÚ La Bruja Hostal,800.0,3.5,4.0,0,133,128,1,3,1,2,1,1,1,1,1,1
