city,comments,name,prices,quality_price,rating,services,stars,url
Isla Mujeres,16 opiniones,"Casa Isleño Villa vacacional, Isla Mujeres",,ui_bubble_rating bubble_50,5.0,"Internet de alta velocidad gratuito (WiFi),Wifi,Hotel para no fumadores,Lavandería de autoservicio,Aire acondicionado,Escritorio,Estante para la ropa,Máquina de café/té,Kitchenette,Microondas,Refrigerador,Bañera/Ducha,Habitaciones para no fumadores",,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d10123174-Reviews-Casa_Isleno_Apartments-Isla_Mujeres_Yucatan_Peninsula.html
Riviera Nayarit,1 opinión,"Sayulita Surf House Hostal, Nayarit",,,3.0,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d6567856-Reviews-Sayulita_Surf_House-Sayulita_Pacific_Coast.html
Riviera Nayarit,1 opinión,"Posada Estrella Sayulita Apartamento, Nayarit",,,3.0,"Bar/Salón,Actividades infantiles (Ideal para niños / familias)",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d7940656-Reviews-Posada_Estrella_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,10 opiniones,"Papelillo Lofts Apartamento, Sayulita, Nayarit",,ui_bubble_rating bubble_50,3.0,"Internet de alta velocidad gratuito (WiFi),Bar/Salón,Restaurante,Hotel para no fumadores,Muebles de exterior,Aire acondicionado,Escritorio,Comedor,Guardarropa/Ropero,Máquina de café/té,Microondas,TV pantalla plana,Productos de tocador de cortesía,Vista a la ciudad,Habitaciones para familias",3.5 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d12215956-Reviews-Papelillo_Lofts-Sayulita_Pacific_Coast.html
Riviera Nayarit,1 opinión,"Surfing Sayulita, Nayarit",,,4.0,"Internet de alta velocidad gratuito (WiFi),Wifi,Cocina compartida,Aire acondicionado,Escritorio",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d11619275-Reviews-Surfing_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,11 opiniones,"The Phoenix Sayulita, Nayarit",,,3.0,Piscina en la terraza,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d10759104-Reviews-The_Phoenix_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,4 opiniones,"North Side Studios Sayulita, Nayarit",,,3.5,Actividades infantiles (Ideal para niños / familias),,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d15357793-Reviews-North_Side_Studios_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,2 opiniones,"Sayuilita Kart Inn, Sayulita, Nayarit",,,4.0,"Estacionamiento en la calle,Internet de alta velocidad gratuito (WiFi),Actividades infantiles (Ideal para niños / familias),Se admiten mascotas ( Se aceptan perros / mascotas ),Hotel para no fumadores,Aire acondicionado,Servicio de limpieza,Sala de estar,Estante para la ropa,Máquina de café/té,Refrigerador,Bañera/Ducha,Productos de tocador de cortesía,Habitaciones para familias",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d12461211-Reviews-Sayuilita_Kart_Inn-Sayulita_Pacific_Coast.html
Riviera Nayarit,3 opiniones,"Mi Otra Casa, Sayulita, Nayarit",,ui_bubble_rating bubble_25,3.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Bañera de hidromasaje,Bar/Salón,Actividades infantiles (Ideal para niños / familias),Transporte al aeropuerto,Spa,Almacenamiento de equipaje,Aire acondicionado,Kitchenette,Habitaciones para familias",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d17532206-Reviews-Mi_Otra_Casa-Sayulita_Pacific_Coast.html
Riviera Nayarit,1 opinión,"Casitas Sayulita Villa vacacional, Nayarit",,,4.0,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Transporte al aeropuerto,Red para mosquitos,Hotel para no fumadores,Caja fuerte,Sala de estar,Sofá,Plancha,Máquina de café/té,Kitchenette,Bañera/Ducha,Productos de tocador de cortesía",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d12930441-Reviews-Casitas_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,1 opinión,"Casa Fanyvane Alojamiento, Sayulita, Nayarit",,,5.0,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d17673634-Reviews-Casa_Fanyvane-Sayulita_Pacific_Coast.html
Riviera Nayarit,1 opinión,"Bacabes Private Beach Retreat Villa vacacional, Sayulita, Nayarit",,ui_bubble_rating bubble_40,5.0,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d1841098-Reviews-Bacabes_Private_Beach_Retreat-Sayulita_Pacific_Coast.html
Riviera Nayarit,1 opinión,"Atico Hostal, Sayulita, Nayarit",,,4.0,Bar/Salón,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d13330209-Reviews-Atico_Hostal-Sayulita_Pacific_Coast.html
Riviera Nayarit,2 opiniones,"Arrecife Hotel-Villas, Sayulita, Nayarit",,,4.5,"Estacionamiento gratis,Wifi público,Piscina al aire libre,Toallas para la piscina/playa,Parte poco profunda de la piscina,Piscina para niños,Aire acondicionado,Comedor,Balcón privado,Sala de estar,Máquina de café/té,Kitchenette,TV por cable/satélite,Secador de pelo,Vista a la piscina,Habitaciones para no fumadores,Habitaciones para familias",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d16996410-Reviews-Arrecife_Hotel_Villas-Sayulita_Pacific_Coast.html
Riviera Nayarit,1 opinión,"Cabanas Monte Zion Apartamento, Sayulita, Nayarit",,,5.0,"Estacionamiento,Piscina,Alquiler de bicicletas,Campo de golf,Actividades infantiles (Ideal para niños / familias),Se admiten mascotas ( Se aceptan perros / mascotas ),Cocina compartida,Recepción disponible las 24 horas,Habitaciones para familias",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d8640480-Reviews-Cabanas_Monte_Zion-Sayulita_Pacific_Coast.html
Riviera Nayarit,1 opinión,"Casa Conchita Guest House, Sayulita, Nayarit",,,5.0,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d15297214-Reviews-Casa_Conchita_Guest_House-Sayulita_Pacific_Coast.html
