city,comments,name,prices,quality_price,rating,services,stars,url
Isla Mujeres,100 opiniones,"Icaco Island Village Apartamento, Isla Mujeres",,ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Clases de yoga,Desayuno gratis,Esnórquel,Actividades infantiles (Ideal para niños / familias),Transporte al aeropuerto,Aire acondicionado,Servicio de limpieza,Caja fuerte,Botellas de agua,Microondas,Refrigerador,Habitaciones para no fumadores,Suites",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d12263363-Reviews-Icaco_Island_Village-Isla_Mujeres_Yucatan_Peninsula.html
Riviera Nayarit,3 opiniones,"Ximena Hotel Boutique, Sayulita, Nayarit",,,5.0,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina al aire libre,Bar en la piscina,Playa,Excursionismo,Transporte al aeropuerto,Solo para adultos,Aire acondicionado,Escritorio,Balcón privado,Caja fuerte,Máquina de café/té,Minibar,TV por cable/satélite,Bañera/Ducha,Habitaciones para no fumadores,Suites",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d23716936-Reviews-Ximena_Sayulita_Hotel_Boutique-Sayulita_Pacific_Coast.html
Isla Mujeres,7 opiniones,Ocean Drive Hotel - Isla Mujeres,,,2.5,"Estacionamiento público gratuito cercano,Wifi,Piscina,Check-in las 24 horas,Aire acondicionado,Vista al mar,Vista a la ciudad",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d23379805-Reviews-Ocean_Drive_Hotel_Isla_Mujeres-Isla_Mujeres_Yucatan_Peninsula.html
Isla Mujeres,3 opiniones,"Hotel Maria Elena, Isla Mujeres",,,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Piscina al aire libre,Aire acondicionado,Servicio de limpieza,Refrigerador,Bañera/Ducha,Productos de tocador de cortesía",2.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d12289033-Reviews-Hotel_Maria_Elena-Isla_Mujeres_Yucatan_Peninsula.html
Isla Mujeres,105 opiniones,"Chichi's 'n Charlies Rancho, Isla Mujeres",,ui_bubble_rating bubble_40,3.5,"Internet de alta velocidad gratuito (WiFi),Wifi,Bar/Salón,Restaurante,Playa,Actividades infantiles (Ideal para niños / familias),Hotel para no fumadores,Aire acondicionado,Habitaciones para no fumadores,Habitaciones para familias",,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d2096818-Reviews-Chichi_s_n_Charlies-Isla_Mujeres_Yucatan_Peninsula.html
Isla Mujeres,183 opiniones,"Hotel Marcianito, Isla Mujeres",,ui_bubble_rating bubble_45,4.0,"Internet de alta velocidad gratuito (WiFi),Wifi,Los niños se alojan gratis,Hotel para no fumadores,Check-in y check-out exprés,Balcón privado,Caja fuerte,Refrigerador,Habitaciones para no fumadores",2.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d286218-Reviews-Hotel_Marcianito-Isla_Mujeres_Yucatan_Peninsula.html
Riviera Nayarit,3 opiniones,"Pacific Inn Sayulita Alojamiento, Nayarit",,,1.0,"Estacionamiento gratis,Piscina,Servicio de traslado en autobús,Kitchenette",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d20156936-Reviews-Pacific_Inn_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,14 opiniones,"Casa Pia, Sayulita, Nayarit",,ui_bubble_rating bubble_45,4.0,"Internet de alta velocidad gratuito (WiFi),Red para mosquitos,Hotel para no fumadores,Aire acondicionado,Servicio de limpieza,Bañera/Ducha,Productos de tocador de cortesía",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d12460308-Reviews-Casa_Pia-Sayulita_Pacific_Coast.html
Riviera Nayarit,10 opiniones,"Villas Amalia Hotel Hotel especializado, Sayulita, Nayarit",,,4.0,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Guardería,Actividades infantiles (Ideal para niños / familias),Transporte al aeropuerto,Almacenamiento de equipaje,Hotel para no fumadores,Aire acondicionado,Servicio de limpieza,Caja fuerte,Kitchenette,Refrigerador,Habitaciones para no fumadores,Habitaciones para familias",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d13465538-Reviews-Villas_Amalia_Hotel-Sayulita_Pacific_Coast.html
Riviera Nayarit,34 opiniones,"Bungalow's Jaqueline, Sayulita, Nayarit",,ui_bubble_rating bubble_45,4.0,"Internet de alta velocidad gratuito (WiFi),Wifi,Piscina,Aire acondicionado,Kitchenette,Habitaciones para no fumadores",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d2513131-Reviews-Bungalow_s_Jaqueline-Sayulita_Pacific_Coast.html
Riviera Nayarit,29 opiniones,"Hotel y Suites Los Encantos Apartamento, Sayulita, Nayarit",,ui_bubble_rating bubble_40,4.0,"Estacionamiento gratis,Estacionamiento vigilado,Internet de alta velocidad gratuito (WiFi),Internet,Piscina,Bañera de hidromasaje,Actividades infantiles (Ideal para niños / familias),Hotel para no fumadores,Aire acondicionado,Servicio de limpieza,Caja fuerte,Máquina de café/té,Microondas,Refrigerador,Bañera/Ducha,Productos de tocador de cortesía,Habitaciones para no fumadores,Habitaciones para familias",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d7102564-Reviews-Hotel_y_Suites_Los_Encantos-Sayulita_Pacific_Coast.html
Riviera Nayarit,6 opiniones,"Don Bonito, Sayulita, Nayarit",,ui_bubble_rating bubble_40,4.0,"Internet de alta velocidad gratuito (WiFi),Piscina al aire libre,Aire acondicionado",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d15239428-Reviews-Don_Bonito-Sayulita_Pacific_Coast.html
Riviera Nayarit,8 opiniones,"Casa Love Alojamiento, Sayulita, Nayarit",,ui_bubble_rating bubble_50,4.0,Internet de alta velocidad gratuito (WiFi),,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d15243388-Reviews-Casa_Love-Sayulita_Pacific_Coast.html
Riviera Nayarit,33 opiniones,"Mar y Suenos B & B, Sayulita, Nayarit","$1,553,$1,553,$1,574",ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Restaurante,Bicicletas disponibles,Actividades infantiles (Ideal para niños / familias),Transporte al aeropuerto,Instalaciones para hacer parrillas,Aire acondicionado,Servicio de limpieza,Balcón privado,Kitchenette,Microondas,Refrigerador,Habitaciones para no fumadores,Suites,Habitaciones para familias",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d5961010-Reviews-Mar_y_Suenos-Sayulita_Pacific_Coast.html
Riviera Nayarit,14 opiniones,"Paraíso Sayulita Alojamiento, Nayarit","$2,140",ui_bubble_rating bubble_50,5.0,"Internet de alta velocidad gratuito (WiFi),Wifi,Piscina,Bar/Salón,Conserje,Hotel para no fumadores,Aire acondicionado,Kitchenette,Microondas,Refrigerador,Habitaciones para no fumadores,Suites,Habitaciones para familias",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d15233528-Reviews-Paraiso_Sayulita-Sayulita_Pacific_Coast.html
Mérida,655 opiniones,"Hostal Zócalo, Mérida, Yucatán",,ui_bubble_rating bubble_45,4.5,"Estacionamiento privado pagado cercano,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Alquiler de bicicletas,Navegación,Los niños se alojan gratis,Alquiler de autos,Salón de banquetes,Aire acondicionado,Baño adicional,Escritorio,Servicio de limpieza,Balcón privado,Máquina de café/té,Horno,Productos de tocador de cortesía,Vista a la ciudad,Vista a un lugar de interés,Habitaciones para no fumadores,Habitaciones para familias",,https://www.tripadvisor.com.mx/Hotel_Review-g150811-d1151001-Reviews-Hostal_Zocalo-Merida_Yucatan_Peninsula.html
Riviera Maya,22 opiniones,Layla Tulum - Boutique Hotel,"$7,111,$7,111",ui_bubble_rating bubble_50,5.0,"Estacionamiento público gratuito cercano,Internet de alta velocidad gratuito (WiFi),Wifi,Piscina,Toallas para la piscina/playa,Bar/Salón,Transporte al aeropuerto,Masaje de cabeza,Aire acondicionado,Servicio de limpieza,Bañera/Ducha",,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d23149544-Reviews-Layla_Tulum_Boutique_Hotel-Tulum_Yucatan_Peninsula.html
Riviera Maya,933 opiniones,Selina Tulum Hostal,,ui_bubble_rating bubble_35,4.0,"Estacionamiento gratis,Internet gratuito,Piscina,Clases de yoga,Desayuno gratis,Playa,Alquiler de bicicletas,Sillitas altas disponibles,Cortinas blackout,Aire acondicionado,Playa privada,Escritorio,Servicio de limpieza,Habitaciones interconectadas disponibles,Balcón privado,Bañera/Ducha,Vista al mar,Habitaciones para no fumadores,Suites,Habitaciones para familias",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d19510259-Reviews-Selina_Tulum-Tulum_Yucatan_Peninsula.html
Riviera Maya,394 opiniones,"Maria Del Mar Boutique Hotel, Tulum",,ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Bar/Salón,Playa,Transporte al aeropuerto,Spa,Seguridad las 24 horas,Aire acondicionado,Playa privada,Balcón privado,Caja fuerte,Vista al mar,Habitaciones para no fumadores,Suites",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d10128475-Reviews-Maria_Del_Mar_Boutique_Hotel-Tulum_Yucatan_Peninsula.html
Riviera Maya,494 opiniones,"Hotelito Azul, Tulum",,ui_bubble_rating bubble_40,4.5,"Estacionamiento privado pagado cercano,Internet de alta velocidad gratuito (WiFi),Piscina,Clases de yoga,Bar/Salón,Playa,Alquiler de bicicletas,Se admiten mascotas ( Se aceptan perros / mascotas ),Cortinas blackout,Habitaciones insonorizadas,Aire acondicionado,Playa privada,Escritorio,Servicio de limpieza,Ducha a ras de suelo,Bañera/Ducha,Vista al mar,Habitaciones para no fumadores,Suites,Habitaciones para familias",2.5 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d12249035-Reviews-Hotelito_Azul-Tulum_Yucatan_Peninsula.html
Riviera Maya,105 opiniones,"Hotel Bardo B & B, Tulum",,ui_bubble_rating bubble_50,5.0,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Bicicletas disponibles,Se admiten mascotas ( Se aceptan perros / mascotas ),Transporte al aeropuerto,Cortinas blackout,Batas de baño,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Máquina de café/té,Camas extralargas,Bañera/Ducha,Vista a la piscina,Habitaciones para no fumadores,Suites",,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d19450220-Reviews-Hotel_Bardo-Tulum_Yucatan_Peninsula.html
Riviera Maya,602 opiniones,"Casa Malca Hotel, Tulum","$19,189,$16,165,$16,165",ui_bubble_rating bubble_40,4.0,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Desayuno gratis,Playa,Alquiler de bicicletas,Transporte al aeropuerto,Spa,Aire acondicionado,Playa privada,Servicio de limpieza,Servicio a la habitación,Minibar,Refrigerador,Bañera/Ducha,Productos de tocador de cortesía,Vista al mar,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias",4.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d8631919-Reviews-Casa_Malca-Tulum_Yucatan_Peninsula.html
Riviera Maya,"1,095 opiniones","Hotel Nueva Vida de Ramiro, Tulum",,ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina al aire libre,Desayuno gratis,Playa,Conserje,Red para mosquitos,Servicio de lavandería,Playa privada,Balcón privado,Servicio a la habitación,Caja fuerte,Sala de estar,Refrigerador,Bañera/Ducha,Productos de tocador de cortesía,Vista al mar,Habitaciones para no fumadores,Suites",2.5 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d1013669-Reviews-Hotel_Nueva_Vida_de_Ramiro-Tulum_Yucatan_Peninsula.html
Riviera Maya,373 opiniones,"Coco Unlimited Resort, Tulum",,ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Internet gratuito,Piscina,Clases de yoga,Desayuno gratis,Playa,Alquiler de bicicletas,Los niños se alojan gratis,Cortinas blackout,Aire acondicionado,Playa privada,Balcón privado,Caja fuerte,Guardarropa/Ropero,Bañera/Ducha,Productos de tocador de cortesía,Vista al mar,Vista a la piscina,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias",,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d13190589-Reviews-Coco_Unlimited-Tulum_Yucatan_Peninsula.html
Riviera Maya,493 opiniones,Mereva Tulum by Blue sky Hotel,"$3,993,$3,595,$3,993,$3,619,$3,595",ui_bubble_rating bubble_40,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Desayuno gratis,Playa,Bicicletas disponibles,Cadenas de televisión para niños,Equipo para niños para jugar al aire libre,Cortinas blackout,Batas de baño,Aire acondicionado,Playa privada,Máquina de café/té,TV por cable/satélite,Camas extralargas,Ducha a ras de suelo,Vista al mar,Vista a la piscina,Habitaciones para no fumadores,Suites",4.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d266853-Reviews-Mereva_Tulum_by_Blue_sky-Tulum_Yucatan_Peninsula.html
Riviera Maya,994 opiniones,"Amansala Eco Chic Resort & Spa, Tulum","$3,954,$3,976,$3,954,$3,966,$3,984,$3,984",ui_bubble_rating bubble_40,4.0,"Estacionamiento público gratuito cercano,Wifi,Piscina al aire libre,Clases de yoga,Bar/Salón,Playa,Alquiler de bicicletas,Transporte al aeropuerto,Playa privada,Balcón privado,Caja fuerte,Vista al mar,Habitaciones para no fumadores,Habitaciones para familias",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d297164-Reviews-Amansala_Eco_Chic_Resort_Spa-Tulum_Yucatan_Peninsula.html
Riviera Maya,"2,239 opiniones",Kore Tulum Retreat and Spa Resort,"$7,600,$4,944",ui_bubble_rating bubble_40,4.0,"Estacionamiento gratis,Wifi,Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Alquiler de bicicletas,Bicicletas disponibles,Servicio de taxi,Cortinas blackout,Batas de baño,Aire acondicionado,Escritorio,Máquina de café/té,TV por cable/satélite,Sofá cama,Ducha a ras de suelo,Vista al mar,Habitaciones para no fumadores,Suites",5.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d5519640-Reviews-Kore_Tulum_Retreat_and_Spa_Resort-Tulum_Yucatan_Peninsula.html
Riviera Maya,22 opiniones,Hilton Tulum Riviera Maya All-Inclusive Resort,,,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Playa,Actividades infantiles (Ideal para niños / familias),Centro de negocios con acceso a Internet,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Teléfono,TV por cable/satélite,TV pantalla plana,Bañera/Ducha,Productos de tocador de cortesía,Vista al mar,Habitaciones para no fumadores,Suites",,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d23608360-Reviews-Hilton_Tulum_Riviera_Maya_All_Inclusive_Resort-Tulum_Yucatan_Peninsula.html
Riviera Maya,744 opiniones,Alaya Tulum Hotel,,ui_bubble_rating bubble_45,5.0,"Estacionamiento gratis,Internet gratuito,Clases de yoga,Bar/Salón,Playa,Alquiler de bicicletas,Se admiten mascotas ( Se aceptan perros / mascotas ),Transporte al aeropuerto,Cortinas blackout,Batas de baño,Aire acondicionado,Playa privada,Servicio de limpieza,Balcón privado,Servicio a la habitación,Caja fuerte,Vista al mar,Habitaciones para no fumadores,Suites",,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d7855993-Reviews-Alaya_Tulum-Tulum_Yucatan_Peninsula.html
Riviera Maya,878 opiniones,"Diamante K Resort, Tulum",,ui_bubble_rating bubble_40,4.5,"Estacionamiento gratis,Wifi,Piscina con vista,Clases de yoga,Bar/Salón,Playa,Masaje en pareja,Almacenamiento de equipaje,Playa privada,Servicio de limpieza,Caja fuerte,Vista al mar,Habitaciones para no fumadores,Suites",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d294769-Reviews-Diamante_K-Tulum_Yucatan_Peninsula.html
Riviera Maya,"1,171 opiniones",Cabañas Tulum Beach Hotel & Spa,,ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Playa,Bicicletas disponibles,Transporte al aeropuerto,Cortinas blackout,Batas de baño,Aire acondicionado,Playa privada,Escritorio,Servicio de limpieza,Máquina de café/té,Ducha a ras de suelo,Vista al mar,Vista a la piscina,Habitaciones para no fumadores",,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d601163-Reviews-Cabanas_Tulum_Beach_Hotel_Spa-Tulum_Yucatan_Peninsula.html
Riviera Maya,613 opiniones,Mayan Monkey Tulum Hostal,,ui_bubble_rating bubble_45,4.5,"Estacionamiento en la calle,Internet de alta velocidad gratuito (WiFi),Piscina,Bar/Salón,Personal de entretenimiento,Entretenimiento nocturno,Servicio de traslado en autobús,Centro de negocios con acceso a Internet,Aire acondicionado,Caja fuerte,Habitaciones para no fumadores,Suites",,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d17430259-Reviews-Mayan_Monkey_Tulum-Tulum_Yucatan_Peninsula.html
Riviera Maya,117 opiniones,Conrad Tulum Riviera Maya Hotel,"$7,351,$7,315,$7,317,$7,316,$7,316",ui_bubble_rating bubble_45,4.5,"Estacionamiento con servicio de valet,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Playa,Bicicletas disponibles,Actividades infantiles (Ideal para niños / familias),Aire acondicionado,Baño adicional,Servicio de limpieza,Balcón privado,Servicio a la habitación,TV por cable/satélite,TV pantalla plana,Secador de pelo,Vista al mar,Vista a la piscina,Habitaciones para no fumadores,Suites",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d23608358-Reviews-Conrad_Tulum_Riviera_Maya-Tulum_Yucatan_Peninsula.html
Riviera Maya,"1,338 opiniones",Coco Tulum Hotel B & B,,ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Internet gratuito,Clases de yoga,Bar/Salón,Playa,Alquiler de bicicletas,Transporte al aeropuerto,Spa,Cortinas blackout,Aire acondicionado,Playa privada,Servicio de limpieza,Balcón privado,Servicio a la habitación,Bañera/Ducha,Productos de tocador de cortesía,Vista al mar,Habitaciones para no fumadores,Suites",,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d1627965-Reviews-Coco_Tulum_Hotel-Tulum_Yucatan_Peninsula.html
Riviera Maya,"1,178 opiniones","Ana y Jose Hotel & Spa, Tulum",,ui_bubble_rating bubble_35,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Desayuno gratis,Playa,Navegación,Transporte al aeropuerto,Instalaciones para conferencias,Habitación libre de alérgenos,Cortinas blackout,Aire acondicionado,Playa privada,Máquina de café/té,TV por cable/satélite,Sofá cama,Bañera con hidromasaje,Vista al mar,Vista a un lugar de interés,Vista a la piscina,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para fumadores disponibles",4.5 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d525240-Reviews-Ana_y_Jose_Hotel_Spa-Tulum_Yucatan_Peninsula.html
Riviera Maya,502 opiniones,Dune Boutique Hotel in Tulum,,ui_bubble_rating bubble_50,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina con vista,Desayuno gratis,Playa,Alquiler de bicicletas,Transporte al aeropuerto,Solo para adultos,Aire acondicionado,Playa privada,Escritorio,Servicio de limpieza,Balcón privado,Refrigerador,Bañera/Ducha,Productos de tocador de cortesía,Vista al mar,Habitaciones para no fumadores,Suites",3.5 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d8736251-Reviews-Dune_Boutique_Hotel_in_Tulum-Tulum_Yucatan_Peninsula.html
Riviera Maya,276 opiniones,Copal Tulum Hotel,,ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Bicicletas disponibles,Guardería,Se admiten mascotas ( Se aceptan perros / mascotas ),Cortinas blackout,Aire acondicionado,Comedor,Servicio de limpieza,Máquina de café/té,TV por cable/satélite,Camas extralargas,Ducha a ras de suelo,Vista a la piscina,Habitaciones para no fumadores,Suites,Habitaciones para familias,Habitaciones para fumadores disponibles",4.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d19369566-Reviews-Copal_Tulum_Hotel-Tulum_Yucatan_Peninsula.html
Riviera Maya,"7,753 opiniones",Dreams Tulum Resort & Spa Resort (todo incluido),"$30,688",ui_bubble_rating bubble_40,4.0,"Estacionamiento gratis,Internet gratuito,Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Playa,Cancha de tenis,Guardería,Habitación libre de alérgenos,Cortinas blackout,Aire acondicionado,Playa privada,Escritorio,Comedor,Minibar,TV pantalla plana,Vista al mar,Habitaciones para no fumadores,Suites,Habitaciones para familias",5.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d591029-Reviews-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html
Riviera Maya,"1,081 opiniones",The Beach Tulum Hotel,,ui_bubble_rating bubble_45,5.0,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Playa,Alquiler de bicicletas,Transporte al aeropuerto,Cortinas blackout,Batas de baño,Aire acondicionado,Playa privada,Servicio de limpieza,Balcón privado,Máquina de café/té,Ducha a ras de suelo,Vista al mar,Habitaciones para no fumadores",4.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d3979959-Reviews-The_Beach_Tulum-Tulum_Yucatan_Peninsula.html
Riviera Maya,"1,734 opiniones",AZULIK Tulum Hotel,,ui_bubble_rating bubble_35,4.0,"Estacionamiento gratis,Internet gratuito,Toallas para la piscina/playa,Restaurante,Playa,Se admiten mascotas ( Se aceptan perros / mascotas ),Spa,Solo para adultos,Playa privada,Servicio de limpieza,Balcón privado,Servicio a la habitación,Caja fuerte,Vista al mar,Habitaciones para no fumadores,Suites,Habitaciones para fumadores disponibles",4.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d278752-Reviews-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html
Riviera Maya,"1,257 opiniones","Mezzanine Colibri Boutique Hotel, Tulum","$6,233,$6,233",ui_bubble_rating bubble_45,5.0,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Bar/Salón,Playa,Alquiler de bicicletas,Transporte al aeropuerto,Tratamientos faciales,Cortinas blackout,Batas de baño,Aire acondicionado,Servicio de limpieza,Balcón privado,Caja fuerte,Minibar,Ducha a ras de suelo,Vista al mar,Habitaciones para no fumadores,Suites",4.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d557443-Reviews-Mezzanine_Colibri_Boutique_Hotel-Tulum_Yucatan_Peninsula.html
Riviera Maya,194 opiniones,Aloft Tulum Hotel,,ui_bubble_rating bubble_50,4.5,"Estación de carga eléctrica para vehículos,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Playa,Bicicletas disponibles,Los niños se alojan gratis,Cortinas blackout,Aire acondicionado,Servicio de limpieza,Habitaciones interconectadas disponibles,Máquina de café/té,TV por cable/satélite,Sofá cama,Ducha a ras de suelo,Vista a la ciudad,Vista a un lugar de interés,Vista a la piscina,Habitaciones para no fumadores,Suites,Habitaciones para familias",4.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d21400609-Reviews-Aloft_Tulum-Tulum_Yucatan_Peninsula.html
Riviera Maya,"2,109 opiniones","Papaya Playa Project Hotel, Tulum",,ui_bubble_rating bubble_40,4.5,"Estacionamiento gratis,Internet gratuito,Piscina,Clases de yoga,Bar/Salón,Playa,Alquiler de bicicletas,Servicio de taxi,Cortinas blackout,Batas de baño,Aire acondicionado,Playa privada,Servicio de limpieza,Balcón privado,Productos de tocador de cortesía,Secador de pelo,Vista al mar,Habitaciones para no fumadores,Suites,Habitaciones para familias",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d614351-Reviews-Papaya_Playa_Project-Tulum_Yucatan_Peninsula.html
Riviera Maya,"1,311 opiniones","Villa Pescadores Hotel, Tulum",,ui_bubble_rating bubble_45,5.0,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Toallas para la piscina/playa,Bar/Salón,Playa,Alquiler de bicicletas,Transporte al aeropuerto,Tratamientos faciales,Habitación libre de alérgenos,Cortinas blackout,Aire acondicionado,Playa privada,Servicio de limpieza,Habitaciones interconectadas disponibles,Minibar,Bañera/Ducha,Vista al mar,Habitaciones para no fumadores,Suites",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d7389125-Reviews-Villa_Pescadores-Tulum_Yucatan_Peninsula.html
Riviera Maya,"1,837 opiniones","La Zebra Colibri Boutique Hotel Resort, Tulum",,ui_bubble_rating bubble_45,5.0,"Estacionamiento público gratuito cercano,Internet gratuito,Piscina,Bar/Salón,Playa,Alquiler de bicicletas,Guardería,Transporte al aeropuerto,Cortinas blackout,Aire acondicionado,Playa privada,Servicio de limpieza,Balcón privado,Caja fuerte,Sala de estar,Instalaciones de habitación VIP,Vista al mar,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d296667-Reviews-La_Zebra_Colibri_Boutique_Hotel-Tulum_Yucatan_Peninsula.html
Riviera Maya,"1,717 opiniones",Ahau Tulum Hotel,,ui_bubble_rating bubble_45,5.0,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Toallas para la piscina/playa,Bar/Salón,Playa,Alquiler de bicicletas,Se admiten mascotas ( Se aceptan perros / mascotas ),Masaje en pareja,Aire acondicionado,Playa privada,Balcón privado,Servicio a la habitación,Caja fuerte,Refrigerador,Vista al mar,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias",3.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150813-d291564-Reviews-Ahau_Tulum-Tulum_Yucatan_Peninsula.html
Mérida,236 opiniones,"Hotel Hacienda VIP, Mérida, Yucatán",,ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Wifi,Piscina,Bar/Salón,Conserje,Hotel para no fumadores,Servicio de lavandería,Aire acondicionado,Balcón privado,TV pantalla plana,Habitaciones para no fumadores,Suites",4.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g150811-d1961107-Reviews-Hotel_Hacienda_VIP-Merida_Yucatan_Peninsula.html
